file	ecosia_markers	added_lines	removed_lines	status
firefox-ios/Client/Frontend/Browser/BrowserViewController/Actions/GeneralBrowserAction.swift	2	4	0	OK
firefox-ios/Client/Frontend/Browser/BrowserViewController/Extensions/BrowserViewController+WebViewDelegates.swift	3	17	0	OK
firefox-ios/Client/Frontend/Browser/BrowserViewController/State/BrowserViewControllerState.swift	4	36	0	OK
firefox-ios/Client/Frontend/Browser/BrowserViewController/Views/BrowserViewController.swift	27	346	14	OK
firefox-ios/Client/Frontend/Browser/Event Queue/AppEvent.swift	1	2	0	OK
firefox-ios/Client/Frontend/Browser/MainMenu/MainMenuConfigurationUtility.swift	10	138	10	OK
firefox-ios/Client/Frontend/Browser/MainMenu/MainMenuCoordinator.swift	3	18	0	OK
firefox-ios/Client/Frontend/Browser/MainMenu/Redux/MainMenuMiddleware.swift	1	3	0	OK
firefox-ios/Client/Frontend/Browser/MainMenu/Redux/MenuNavigationDestination.swift	4	11	1	OK
firefox-ios/Client/Frontend/Browser/Search/SearchViewController.swift	16	139	0	OK
firefox-ios/Client/Frontend/Browser/SearchEngines/OpenSearchEngine.swift	1	10	0	OK
firefox-ios/Client/Frontend/Browser/SearchEngines/SearchEnginesManager.swift	5	46	1	OK
firefox-ios/Client/Frontend/Browser/Tabs/Views/EmptyPrivateTabsView.swift	1	81	0	OK
firefox-ios/Client/Frontend/Browser/Tabs/Views/ExperimentEmptyPrivateTabsView.swift	1	81	0	OK
firefox-ios/Client/Frontend/Browser/Toolbars/AddressToolbarContainer.swift	3	22	0	OK
firefox-ios/Client/Frontend/Browser/Toolbars/Models/AddressToolbarContainerModel.swift	5	74	3	OK
firefox-ios/Client/Frontend/Browser/Toolbars/Models/NavigationToolbarContainerModel.swift	1	5	0	OK
firefox-ios/Client/Frontend/Browser/Toolbars/Redux/AddressBarState.swift	3	40	2	OK
firefox-ios/Client/Frontend/Browser/Toolbars/Redux/NavigationBarState.swift	2	34	0	OK
firefox-ios/Client/Frontend/Browser/Toolbars/Redux/ToolbarActionConfiguration.swift	2	7	0	OK
firefox-ios/Client/Frontend/Browser/Toolbars/Redux/ToolbarMiddleware.swift	2	22	0	OK
firefox-ios/Client/Frontend/ContextualHint/ContextualHintViewController.swift	1	2	0	OK
firefox-ios/Client/Frontend/Home/Homepage/HomepageDiffableDataSource.swift	6	43	2	OK
firefox-ios/Client/Frontend/Home/Homepage/HomepageViewController.swift	26	200	12	OK
firefox-ios/Client/Frontend/Home/Homepage/Layout/HomepageSectionLayoutProvider.swift	2	10	0	OK
firefox-ios/Client/Frontend/Home/Homepage/Layout/TopSitesSectionLayoutProvider.swift	1	2	0	OK
firefox-ios/Client/Frontend/Home/Homepage/TopSites/TopSiteCell.swift	12	115	2	OK
firefox-ios/Client/Frontend/Home/Homepage/Wallpapers/WallpaperBackgroundView.swift	2	34	0	OK
firefox-ios/Client/Frontend/Home/Homepage/Wallpapers/v1/Models/Wallpaper.swift	3	45	0	OK
firefox-ios/Client/Frontend/Home/PrivateHome/PrivateHomepageViewController.swift	2	53	0	OK
firefox-ios/Client/Frontend/Home/PrivateHome/PrivateMessageCardCell.swift	4	107	1	OK
firefox-ios/Client/Frontend/Library/Bookmarks/BookmarksViewController.swift	3	200	1	OK
firefox-ios/Client/Frontend/PasswordManagement/PasswordManagerListViewController.swift	1	22	0	OK
firefox-ios/Client/Frontend/Settings/ClearPrivateDataTableViewController.swift	2	4	0	OK
firefox-ios/Client/Frontend/Settings/HomepageSettings/HomePageSettingViewController.swift	1	43	1	OK
firefox-ios/Client/Frontend/Settings/Main/AppSettingsTableViewController.swift	3	145	0	OK
firefox-ios/Client/Frontend/Settings/SearchEnginePicker.swift	1	3	0	OK
firefox-ios/Client/Frontend/Settings/SearchSettingsTableViewController.swift	10	60	1	OK
firefox-ios/Client/Frontend/Settings/WebsiteDataManagement/WebsiteDataManagementViewController.swift	2	4	0	OK
firefox-ios/Client/Frontend/Share/ShareTelemetry.swift	1	3	0	OK
firefox-ios/Client/Frontend/TrackingProtection/TrackingProtectionViewController.swift	5	26	4	OK
firefox-ios/Client/Frontend/Widgets/SiteTableViewController.swift	1	21	2	OK
firefox-ios/Client/IntroScreenManager.swift	1	10	0	OK
firefox-ios/Client/TabManagement/Tab.swift	2	23	3	OK
firefox-ios/Client/TabManagement/TabManagerImplementation.swift	6	52	2	OK
firefox-ios/Client/TabManagement/TabWebViewPreview.swift	1	9	0	OK
firefox-ios/Client/Telemetry/GleanWrapper.swift	3	30	25	OK
firefox-ios/Client/Telemetry/HistoryDeletionUtilityTelemetry.swift	1	3	0	OK
firefox-ios/Client/Telemetry/HomepageTelemetry.swift	1	4	0	OK
firefox-ios/Client/Telemetry/TelemetryWrapper.swift	11	45	7	OK
firefox-ios/Client/Telemetry/WebviewTelemetry.swift	3	3	0	OK
firefox-ios/Project.swift	NA	NA	NA	NO_BASELINE_AT_147.1
firefox-ios/firefox-ios-tests/Tests/ClientTests/Application/AppSendTabDelegateTests.swift	1	23	23	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Application/MockUIApplication.swift	1	5	0	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Autofill/AddressListViewModelTests.swift	2	25	40	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Autofill/AddressLocaleFeatureValidatorTests.swift	1	9	36	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Autofill/FormAutofillHelperTests.swift	1	8	2	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/BrowserViewControllerStateTests.swift	1	33	513	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/BrowserViewControllerTests.swift	1	50	644	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Coordinators/BrowserCoordinatorTests.swift	12	235	620	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Coordinators/Launch/LaunchCoordinatorTests.swift	2	20	64	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Coordinators/LaunchView/LaunchScreenViewControllerTests.swift	1	12	20	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Coordinators/LaunchView/LaunchScreenViewModelTests.swift	6	49	450	OK
firefox-ios/firefox-ios-tests/Tests/ClientTests/Coordinators/LaunchView/ModernLaunchScreenViewControllerTests.swift	1	31	12	OK
